Index,pH,Iron,Nitrate,Chloride,Lead,Zinc,Color,Turbidity,Fluoride,Copper,Odor,Sulfate,Conductivity,Chlorine,Manganese,Total Dissolved Solids,Source,Water Temperature,Air Temperature,Month,Day,Time of Day,Target
0,8.332988427,8.35E-05,8.605777156,122.7997723,3.71E-52,3.434827042,Colorless,0.022683282,0.607283431,0.1445987,1.626212487,87.26653841,471.683357,3.708177873,2.27E-15,332.1187886,,,43.49332428,January,29,4,0
1,6.917862877,8.05E-05,3.734166635,227.0298509,7.85E-94,1.245317068,Faint Yellow,0.019007277,0.622873794,0.437835305,1.686049006,144.0109807,432.8449082,3.29203779,8.02E-07,284.6419843,Lake,15.34898067,71.22058602,November,26,16,1
2,5.443761984,0.020105859,3.816993832,230.9956297,5.29E-76,0.528279714,Light Yellow,0.31995564,0.423423412,0.431587631,3.414619167,275.7021072,990.2012087,3.560224335,0.070079894,570.0540943,River,11.64346697,44.89132961,January,31,8,1
3,7.955338707,0.143987845,8.224943924,178.1299397,4.00E-176,4.027879477,Near Colorless,0.166319206,0.208453521,0.239450885,,147.1632331,237.0284675,3.516907189,0.024682948,100.0438379,Ground,10.09239196,60.84323293,April,1,21,0
4,8.09190898,0.002167128,9.925788275,186.5408724,4.17E-132,3.807511284,Light Yellow,0.004867024,0.222911919,0.616574354,0.795310107,175.2751746,385.0258554,3.177849467,0.003296139,168.0755446,Spring,15.24941574,69.33667064,June,29,7,0
5,,6.44E-06,1.702583926,162.8284575,6.10E-23,3.742463675,Near Colorless,0.504790698,0.054562464,0.851326326,1.270482834,40.85340276,273.3596619,3.957842188,0.000286395,365.6390447,Stream,13.96684247,45.44479786,March,18,16,0
6,8.132455255,0.055262287,4.288009512,94.99397759,2.92E-52,1.770220597,Light Yellow,0.021703368,1.111893375,0.247115755,0.426403902,,265.5300965,1.706754944,0.030837683,266.0795653,Aquifer,27.92038025,68.10449761,September,14,13,0
7,7.258203146,6.11E-09,9.261675801,182.2423408,4.40E-224,0.416477546,Colorless,0.047803179,1.016196237,0.298093421,3.144198652,114.5514266,160.0625574,2.325093924,6.02E-16,214.5531038,River,15.89190486,61.13914033,April,11,4,0
8,8.238148579,8.08E-10,3.192381033,143.222718,1.84E-57,0.134370542,Near Colorless,0.66261052,0.316944556,0.973190304,,118.5412785,201.7695509,3.798676181,0.035086663,436.3179372,Spring,69.94304793,92.42038135,January,5,14,1
9,7.100649704,0.003019038,3.620641379,157.0439336,6.46E-148,0.112994025,Colorless,0.050612785,0.842107168,0.391601633,2.713378559,167.4178371,583.2953206,2.284970892,8.84E-07,113.9090767,River,11.89937575,14.01026764,April,7,12,0
10,7.177935595,0.11226195,8.978629013,238.1775188,2.29E-34,2.536797511,Light Yellow,0.007845115,0.658048026,0.170881758,1.137561146,77.82480034,332.5981233,2.353324446,,491.3447246,Spring,19.20932517,46.91058779,May,3,9,0
11,7.80668495,1.16E-14,8.763706354,89.25316293,1.36E-46,0.601864922,Near Colorless,0.179034822,1.90331274,0.161621837,0.965743528,82.7920973,308.7341084,2.497478009,5.67E-10,437.7852276,Spring,29.42780545,35.79884222,June,13,23,1
12,7.610982744,0.070003348,7.487402476,168.8039949,1.73E-125,3.24320081,Near Colorless,0.189490379,0.456858153,0.657833867,1.650826914,120.7470133,347.4386432,2.860287296,0.003748143,262.6895452,Ground,22.93434347,76.54752631,July,19,8,1
13,7.690541553,3.11E-05,4.72258495,175.9357741,7.58E-105,0.052887789,Colorless,0.926941374,0.952632636,0.460585332,1.072721762,,270.7195141,3.785155554,5.19E-06,239.3528377,Reservoir,34.11101754,84.12431421,September,28,22,1
14,8.474667183,5.55E-05,3.929446461,125.7783524,1.03E-114,0.274419763,Near Colorless,0.034892879,0.377733462,0.13420333,0.249970203,,838.2152182,3.200891429,3.60E-05,487.7887681,Stream,17.81015859,69.10433875,August,5,0,0
15,10.71122614,3.377360167,4.068531117,230.9629201,4.28E-52,2.620459097,Light Yellow,0.02014787,2.246267091,0.040579924,4.047238435,155.6670374,539.965014,3.415349249,0.036829818,523.907933,Spring,23.6131966,48.01537938,March,17,0,1
16,6.970263109,5.76E-05,7.49108455,130.9013042,3.68E-219,0.074593462,Near Colorless,0.790927832,0.052389685,0.97708404,0.85561701,205.6581386,417.9342715,2.104705864,1.35E-05,193.6239882,Stream,20.45306382,49.9489486,October,20,4,0
17,8.470968665,0.001307171,3.535066133,142.6517703,4.29E-55,0.272492146,Near Colorless,0.000831739,1.01396654,0.170617904,1.652750628,199.117882,206.2032945,2.575973671,0.000134885,408.0619463,Ground,42.90937499,60.69900785,December,11,5,1
18,7.67366399,0.003307348,4.246382291,160.1684028,7.18E-50,0.820912527,Colorless,0.336068019,0.445193031,0.389818218,2.628738629,167.0482365,308.5241902,2.946246097,0.02716256,48.58249114,Lake,21.95535797,69.66261556,August,26,11,1
19,8.116287777,0.001502838,8.993002298,214.480197,1.15E-30,2.279528287,Colorless,1.365581194,0.234745503,0.678391063,1.498628114,111.6114476,412.1836229,2.710583878,3.16E-08,244.5238337,Spring,19.63949754,54.40494041,March,16,11,0
